"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","5","491","2203537440768","31657984","10739712","23624","C:\Windows\system32\svchost.exe","Microsoft Corporation","1.125","10.0.17763.701 (WinBuild.160101.0800)","10.0.17763.701","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5464","Microsoft.Win32.SafeHandles.SafeProcessHandle","491","8896",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23624","23624","10739712","10739712","367336","367336","12509184","12509184","36392960","36392960","244842496","2203563065344","True","Normal","10739712","10739712","00:00:00.2812500","svchost","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:09:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1250000","00:00:00.8437500","219217920","2203537440768","False",,,,"31657984","31657984",,
"svchost","0","475","2203473948672","16035840","15343616","20768",,,,,,,,"Process","8",,,,,,"475","8936",".","0","",,,,,"20768","20768","15343616","15343616","183192","183192","22863872","22863872","41291776","41291776","190828544","2203509051392",,,"15343616","15343616",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"155725824","2203473948672","False",,,,"16035840","16035840",,
"svchost","0","162","2203397017600","1687552","1953792","9104",,,,,,,,"Process","8",,,,,,"162","9452",".","0","",,,,,"9104","9104","1953792","1953792","79392","79392","2326528","2326528","8019968","8019968","85086208","2203403309056",,,"1953792","1953792",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"78794752","2203397017600","False",,,,"1687552","1687552",,
"svchost","0","444","2203430666240","12181504","4210688","19480",,,,,,,,"Process","8",,,,,,"444","9684",".","0","",,,,,"19480","19480","4210688","4210688","164528","164528","5156864","5156864","19922944","19922944","127561728","2203445784576",,,"4210688","4210688",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"112443392","2203430666240","False",,,,"12181504","12181504",,
"svchost","0","218","2203400470528","4530176","2539520","11776",,,,,,,,"Process","8",,,,,,"218","9912",".","0","",,,,,"11776","11776","2539520","2539520","83008","83008","3006464","3006464","9695232","9695232","87228416","2203405451264",,,"2539520","2539520",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"82247680","2203400470528","False",,,,"4530176","4530176",,
"svchost","0","260","2203421741056","10555392","3932160","13840",,,,,,,,"Process","8",,,,,,"260","10448",".","0","",,,,,"13840","13840","3932160","3932160","133368","133368","5132288","5132288","22188032","22188032","123789312","2203442012160",,,"3932160","3932160",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"103518208","2203421741056","False",,,,"10555392","10555392",,
"svchost","0","285","2203419512832","6897664","4587520","10808",,,,,,,,"Process","8",,,,,,"285","10560",".","0","",,,,,"10808","10808","4587520","4587520","84912","84912","8765440","8765440","38211584","38211584","160645120","2203478867968",,,"4587520","4587520",,"svchost",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"101289984","2203419512832","False",,,,"6897664","6897664",,
"System","0","5340","7852032","2994176","204800","272",,,,,,,,"Process","8",,,,,,"5340","4",".","0","",,,,,"272","272","204800","204800","0","0","217088","217088","3354624","3354624","14655488","14655488",,,"204800","204800",,"System",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"7852032","7852032","False",,,,"2994176","2994176",,
"SystemSettings","5","755","2203875254272","200704","34336768","36720","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","Microsoft Corporation","0.484375","10.0.17763.701 (WinBuild.160101.0800)","10.0.17763.701","Settings","Microsoft? Windows? Operating System","Process","8",,"False",,"3348","Microsoft.Win32.SafeHandles.SafeProcessHandle","755","9036",".","66812","Settings","System.Diagnostics.ProcessModule (SystemSettings.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36720","36720","34336768","34336768","773992","773992","35368960","35368960","69472256","69472256","558080000","2203876302848","True","Normal","34336768","34336768","00:00:00.2500000","SystemSettings","63","False","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:10:37 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.2343750","557031424","2203875254272","False",,,,"200704","200704",,
"taskhostw","5","327","2203592347648","17485824","9723904","34328","C:\Windows\system32\taskhostw.exe","Microsoft Corporation","0.703125","10.0.17763.701 (WinBuild.160101.0800)","10.0.17763.701","Host Process for Windows Tasks","Microsoft? Windows? Operating System","Process","8",,"False",,"3184","Microsoft.Win32.SafeHandles.SafeProcessHandle","327","9220",".","0","","System.Diagnostics.ProcessModule (taskhostw.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34328","34328","9723904","9723904","201016","201016","10170368","10170368","18325504","18325504","276590592","2203594813440","True","Normal","9723904","9723904","00:00:00.4062500","taskhostw","63","True","5","System.Diagnostics.ProcessStartInfo","8/8/2019 4:09:56 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7031250","00:00:00.2968750","274124800","2203592347648","False",,,,"17485824","17485824",,
